,Date,Study,Study Link,Journal,Study Type,Addressed Population,Challenge,Solution,Measure of Evidence,Added On
62,2020-03-29,Novel Coronavirus 2019 (2019-nCoV) Infection: Part I - Preparedness and Management in the Pediatric Intensive Care Unit in Resource-limited Settings.,https://indianpediatrics.net/apr2020/324.pdf,Indian Pediatrics,Expert Review,Critical Care Units,Managing resources in the PICU,Specific guidance for ICU management in these settings is outlined,-,4/22/20
63,2020-03-29,Individualized System for Augmenting Ventilator Efficacy (iSAVE): A Rapidly deployable system to expand ventilator capacity,https://www.biorxiv.org/content/10.1101/2020.03.28.012617v1,bioRXiv Preprint,Investigative study,Patients,Ventilator shortage,"In contrast to other ventilation splitters, the iSAVE could potentially double the number of treated patients while retaining personalized ventilation settings for each individual. Using existing ventilator devices avoids manufacturing delays, and lowers the prohibitive costs of procuring expensive ventilators at large scale. Healthcare systems worldwide could benefit from this as they strive to care for the exponentially increasing volume of COVID-19 patients.",The iSAVE system was evaluated through simulations in vivo and in pigs to evaluate the capacity of the iSAVE to support a range of respiratory clinical states.,4/26/20
64,2020-03-29,Response and Operating Room Preparation for the COVID-19 Outbreak: A Perspective From the National Heart Centre in Singapore,https://www.jcvaonline.com/article/S1053-0770(20)30300-1/pdf,Journal of Cardiothoracic and Vascular Anesthesia,Expert Review,Surgical center,Resource shortage,"Reduce the amount of elective surgeries, relocate any surgeries for suspected or confirmed COVID-19 cases to a designated COVID-19 operating room, create an efficient and ordered workflow for the OR to limit spread and increase safety.",-,4/29/20
65,2020-03-27,What Should Palliative Care’s Response Be to the COVID-19 Pandemic?,https://www.jpsmjournal.com/article/S0885-3924(20)30164-0/pdf,Journal of Pain and Symptom Management,Expert Review,Palliative care patients and providers,Palliative Care shortage,Prepare for scarcity: Use palliative care consult teams only when necessary,-,4/26/20
66,2020-03-27,What Should Palliative Care’s Response Be to the COVID-19 Pandemic?,https://www.jpsmjournal.com/article/S0885-3924(20)30164-0/pdf,Journal of Pain and Symptom Management,Expert Review,Palliative care patients and providers,Palliative Care shortage,Limit the number of palliative care providers exposed to COVID-19,-,4/26/20
67,2020-03-27,What Should Palliative Care’s Response Be to the COVID-19 Pandemic?,https://www.jpsmjournal.com/article/S0885-3924(20)30164-0/pdf,Journal of Pain and Symptom Management,Expert Review,Palliative care patients and providers,Palliative Care shortage,Discourage existing palliative care and hospice patients from coming to the hospital,-,4/26/20
68,2020-03-27,What Should Palliative Care’s Response Be to the COVID-19 Pandemic?,https://www.jpsmjournal.com/article/S0885-3924(20)30164-0/pdf,Journal of Pain and Symptom Management,Expert Review,Palliative care patients and providers,Palliative Care shortage,Coach other clinicians in the hospital to handle difficult conversations,-,4/26/20
69,2020-03-27,Hydrogen Peroxide Vapor sterilization of N95 respirators for reuse,https://www.medrxiv.org/content/10.1101/2020.03.24.20041087v1,medRXiv Preprint,Simulation,General population,N95 Respirator Shortage,This investigation demonstrated effectiveness of hydrogen peroxide vapor for sterilization of N95 respirators to allow for reuse of masks. It was demonstrated that a single decontamination cycle was effective in completely eradicating the virus phages from the mask. The results also state that no apparent deformity was noted after five cycles.,Standard plaque assay-confirmed,4/29/20
70,2020-03-25,Breast Radiation Therapy Under COVID-19 Pandemic Resource Constraints-Approaches to Defer or Shorten Treatment from a Comprehensive Cancer Center in the United States,https://www.advancesradonc.org/article/S2452-1094(20)30065-8/pdf,Advances in Radiation Oncology,Expert Review,Patients,Patient risk and resource shortage,"Evidence-based guidelines for omitting or abbreviating breast cancer therapy, where appropriate. Omit radiation among certain favorable risk subgroups of patients with breast cancer and for abbreviating or accelerating regimens among others. For those who require either whole-breast or postmastectomy radiation with or without coverage of the regional lymph nodes, a growing body of literature supports hypofractionated approaches that appear safe and effective",-,4/26/20
71,2020-03-20,Challenges for NHS hospitals during covid-19 epidemic,https://www.researchgate.net/profile/John_Willan/publication/340072549_Challenges_for_NHS_hospitals_during_covid-19_epidemic/links/5e79c394a6fdcceef97322c2/Challenges-for-NHS-hospitals-during-covid-19-epidemic.pdf,The BMJ,Expert Review,General healthcare system,Overall challenges to the healthcare workforce and infrastructure,"Expand the workforce: Graduate medical students early, bring recently retired physicians back to work as well as academic physicians, redistribution of staff as needed.",-,4/22/20
72,2020-03-20,Challenges for NHS hospitals during covid-19 epidemic,https://www.researchgate.net/profile/John_Willan/publication/340072549_Challenges_for_NHS_hospitals_during_covid-19_epidemic/links/5e79c394a6fdcceef97322c2/Challenges-for-NHS-hospitals-during-covid-19-epidemic.pdf,The BMJ,Expert Review,General healthcare system,Overall challenges to the healthcare workforce and infrastructure,"Expand the infrastructure: increase CCU capacity both by creating new spaces for care and by cancelling elective work, and scaling down current need to only the most necessary. Use of telemedicine for outpatient care, medication delivery to home. Reduction of chemotherapy intensity may protect cancer patients and reduce likelihood of admission. Add project managers for increased fluidity in this situation.",-,4/22/20
73,2020-03-19,Maximizing the Calm before the Storm: Tiered Surgical Response Plan for Novel Coronavirus (COVID-19),https://www.journalacs.org/article/S1072-7515(20)30263-5/pdf,Journal of the American College of Surgeons,Expert Review,General healthcare system,Resource shortage,"Early and proactive bed management.Ingenuity to create new ventilators from spare parts and retrofit old machines such as intermittent positive pressure breathing into working ventilators. If all patients are COVID-19 positive, as many as 4 patients could be linked in parallel on pressure control settings to attain reasonable minute ventilation and tidal volumes if required. If family members are willing, bagging of patients by family members when no ventilator is available may be required. At Alert level, which has been reached by many facilities in the US, non-time sensitive elective cases, or cases with high risk patients should be delayed, cancelled, and rescheduled for no sooner than 3 months in the future. Limitations on nonemergent transfers, non operative room anesthesia cases, and furlough nonessential nonclinical staff. Clinical triage and telemedicine should be performed whenever possible. Develop plans for further tiers and organization of surgeons into potential call back-up pools. Efforts to back up community facilities from larger tertiary departments to limit transfers required due to quarantined or furloughed surgeons.",-,4/26/20
74,2020-03-16,Challenges to the system of reserve medical supplies for public health emergencies: reflections on the outbreak of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) epidemic in China,https://www.ncbi.nlm.nih.gov/pubmed/32062645,Bioscience Trends,Expert Review,General healthcare system,Lack of medical supplies,"The world should emphasize improving the system of emergency reserve medical supplies in the process of establishing and improving public health emergency response systems, and it should promote the establishment of international cooperative programs to jointly deal with public health emergencies of international concern in the future",-,4/22/20
75,2020-03-15,The COVID-19 outbreak and psychiatric hospitals in China: managing challenges through mental health service reform,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098035/,International Journal of Biological Sciences,Expert Review,Psychiatric services,"Care Shortage, infection risk, limited public transport","In response to mental health service shortage they developed a strategy to reduce outpatient visits in psychiatric hospitals, tighten admission criteria, shorten length of hospitalization, and restrict access to hospital areas for newly admitted patients with psychiatric disorders. In response to infection risk, they developed a strategy to provide adequate PPE, conduct public education on the risk of COVID-19 to hospital staff and patients, reduce family visits to the hospital, advice all people in the hospital about preventative measures, monitor body temperature of everyone in the hospital regularly, and avoid group interactions. In response to limited public transport, they developed a strategy to reform health insurance and develop community-based mental health services and develop outreach psychiatric services for patients living in the community",-,4/26/20
76,2020-03-13,Effectiveness of N95 respirators versus surgical masks against influenza: A systematic review and meta‐analysis,https://onlinelibrary.wiley.com/doi/full/10.1111/jebm.12381,Journal of Evidence-Based Medicine,Systematic review / meta-analysis,General population,Effectiveness of N95 respirators vs. surgical masks,"Compared to surgical masks, N95 respirators are not associated with a lower risk of laboratory-confirmed influenza. N95 respirators are not recommended for the general public or non high-risk medical staff not in contact with infected or suspected patients.",-,4/25/20
77,2020-03-11,Adoption of COVID-19 triage strategies for low-income settings,https://www.thelancet.com/pdfs/journals/lanres/PIIS2213-2600(20)30114-4.pdf,The Lancet Respiratory Medicine,Expert Review,General healthcare system,Healthcare resource shortages in low-resource areas,"In low-income/low-resource healthcare settings such as Uganda, as discussed here, the proposed solution is to train front-line health workers to triage patients with a modified screening algorithm.  This algorithm triages patients initially on the basis of fever (subjective or measured) or cough and if these symptoms are combined with epidemiological risk, then patients are isolated, appropriate infection prevention and control measures are implemented, and testing for SARS-CoV-2 is initiated. This approach is simple and uses readily available technology with most advanced tool required being a thermometer. Chest X-rays are not necessary to determine testing priorities.",-,4/29/20
78,2020-03-09,The demand for inpatient and ICU beds for COVID-19 in the US: lessons from Chinese cities,https://www.medrxiv.org/content/10.1101/2020.03.09.20033241v2,medRXiv Preprint,Retrospective observational review,General Population,Hospital-bed shortage,"Capacity needs from Chinese cities could inform the planning of local US healthcare resources. Based on the historical spread of COVID-19 in Chinese cities, even after strong social distancing and contract tracing protocols as strict as the Wuhan lockdown, hospitalization and ICU needs from COVID-19 patients alone may exceed current capacity. Given how rapidly COVID-19 spreads through cities, even with mitigation measures in place, plans are urgently needed to mitigate the effect of COVID-19 outbreaks on the healthcare system.",-,4/26/20
79,2020-03-05,"Duty to Plan: Health Care, Crisis Standards of Care, and Novel Coronavirus SARS-CoV-2",https://nam.edu/duty-to-plan-health-care-crisis-standards-of-care-and-novel-coronavirus-sars-cov-2/,National Academy of Medicine Perspectives,Expert Review,General healthcare system,Crisis standards of care,"Proactive planning, in which leaders anticipate and take steps to address worst-case scenarios, is the first link in the chain to reducing morbidity, mortality, and other undesirable effects of an emerging disaster. It is vital that the principles and practices of crisis care planning guide public health and health care system preparations. This discussion paper summarizes some key areas in which CSC principles should be applied to COVID- 19 planning, with an emphasis on health care for a large number of patients. Hospitals routinely utilize selected principles of CSC to deal with seasonal outbreaks, lack of bed availability, and drug shortages, but a potential pandemic requires a deeper understanding and application of CSC Reduced to its fundamental elements, CSC describe a planning framework based on strong ethical principles, the rule of law, the importance of provider and community engagement, and steps that permit the equitable and fair delivery of medical services to those who need them under resource-constrained conditions. CSC are based on the following key principles [1]: Fairness; Duty to Care; Duty to Steward; Resources; Transparency; Consistency; Proportionality; Accountability",-,4/22/20
80,2020-02-27,Rational use of personal protective equipment for coronavirus disease 2019 (COVID-19),https://apps.who.int/iris/bitstream/handle/10665/331215/WHO-2019-nCov-IPCPPE_use-2020.1-eng.pdf,World Health Organization,Expert Review,General Population,Management of PPE in face of shortages,Mitigate spread of the virus through community and hospital efforts such as social distancing and maintaining clean surfaces. To optimize PPE availability: (1) Minimize the need for PPE (2) Ensure PPE use is rationalized and appropriate (3) Coordinate PPE supply chain management mechanisms. Many specific steps to mitigate spread and optimize PPE are outlined in this uidance article. ,-,4/22/20
81,2020-02-23,"ACP risk grade: a simple mortality index for patients with confirmed or suspected severe acute respiratory syndrome coronavirus 2 disease (COVID-19) during the early stage of outbreak in Wuhan, China",https://www.medrxiv.org/content/10.1101/2020.02.20.20025510v1,medRXiv Preprint,Retrospective observational study,Patients,Resource shortages and hierarchical allocation of available resources,"A simple mortality risk index (called ACP index), composed of Age and C-reactive Protein, was developed. By applying the ACP index, patients were categorized into three grades. The 12-day cumulative mortality in grade three (age ≥ 60 years and CRP ≥ 34 mg/L) was 33.2% (95% CI, 19.8% to 44.3%), which was significantly higher than those of grade two (age ≥ 60 years and CRP < 34 mg/L; age < 60 years and CRP ≥ 34 mg/L; 5.6% [95% CI, 0 to 11.3%]) and grade one (age < 60 years and CRP < 34 mg/L, 0%) (P <0.001), respectively. Conclusion: The ACP index can predict COVID-19 related short-term mortality, which may be a useful and convenient tool for quickly establishing a COVID-19 hierarchical management system that can greatly reduce the medical burden and therefore mortality in highly endemic areas.",patients: 577,4/29/20
82,2020-02-19,Preparing for the Most Critically Ill Patients With COVID-19: The Potential Role of Extracorporeal Membrane Oxygenation,https://jamanetwork.com/journals/jama/fullarticle/2761778,JAMA,Expert Review,Patients,Proposed use of ECMO in face of limited ventilation devices,"Support with ECMO is for the most critically ill patients in regions with the extensive resources required to provide this therapy. ECMO is not a therapy to be rushed to the frontline when all resources are stretched in a pandemic. In less well-resourced countries, many more lives will be saved by ensuring oxygen and pulse oximetry are widely available. Mitigation efforts to slow the outbreak are critical so that health care systems are not overwhelmed and all patients receive the correct management, whether simply confirmation of the diagnosis and appropriate quarantine, oxygen therapy alone, mechanical ventilation or, for those most likely to benefit, ECMO.",-,4/22/20
83,2020-02-19,"Critical care response to a hospital outbreak of the 2019-nCoV infection in Shenzhen, China",https://ccforum.biomedcentral.com/articles/10.1186/s13054-020-2786-x,Critical Care,Expert Review,General healthcare system,Resource shortage,"Admit patients to single-bedded, negative pressure rooms in isolated units with intensive care and monitoring. Clinical engineering to reconstruct standard rooms and retrofit with externally exhausted HEPA filters. Suspend elective surgeries, cancel ambulatory clinics and outpatient diagnostic procedures, transfer patients to other institutions, and restrict hospital visitors. Plan to increase ICU bed capacity.",-,4/26/20
